"Page","Content Type","Section","English Text","Vietnamese Text","Notes"
"Home","Subsection Heading (H3)","Item 17","Vendor Lock-In","Phụ thuộc vào nhà cung cấp",""
"Home","Paragraph","Item 18","Locked into systems that limit flexibility and innovation.","Bị ràng buộc về hệ thống với nhà cung cấp cũ nên thiếu linh hoạt, khó đổi mới.",""
"Home","Section Heading (H2)","Item 19","Who We Support","Đối tượng khách hàng của chúng tôi",""
"Home","Paragraph","Item 20","Whether you're a small business taking your first steps toward digital transformation or a large enterprise managing complex multi-system environments, HealthSyncX helps you move forward with confidence.","Dù bạn là doanh nghiệp nhỏ mới bắt đầu hành trình chuyển đổi số hay tập đoàn lớn đang vận hành nhiều hệ thống phức tạp, HealthSyncX sẽ đồng hành giúp bạn tiến bước vững chắc.",""
"Home","Subsection Heading (H3)","Item 21","Small and Mid-Sized Businesses","Doanh nghiệp vừa và nhỏ",""
"Home","Paragraph","Item 22","You want modern tools that simplify operations without draining budgets or disrupting daily work.","Bạn cần các công cụ hiện đại giúp đơn giản hóa quy trình vận hành mà vẫn tiết kiệm chi phí và không ảnh hưởng đến công việc hàng ngày.",""
"Home","Paragraph","Item 23","HealthSyncX delivers scalable, right-sized integration — connecting your devices, data, and workflows so you can compete like a larger player while staying agile and cost-efficient.","HealthSyncX mang đến giải pháp tích hợp phù hợp với quy mô của bạn — kết nối thiết bị, dữ liệu và quy trình để doanh nghiệp vận hành linh hoạt, hiệu quả và đủ sức cạnh tranh với các đối thủ lớn hơn.",""
"Home","Subsection Heading (H3)","Item 24","Large Enterprises","Doanh nghiệp lớn",""
"Home","Paragraph","Item 25","You face the opposite problems: too many systems, too much data, and teams that don't always align.","Doanh nghiệp của bạn thường gặp các vấn đề ngược lại: có quá nhiều hệ thống, dữ liệu phân tán và các bộ phận khó phối hợp đồng bộ.",""
"Home","Paragraph","Item 26","We help unify legacy and modern platforms, improve interoperability across departments, and create visibility and compliance without slowing innovation.","Chúng tôi giúp đồng bộ hệ thống cũ và mới, tăng khả năng kết nối giữa các phòng ban, đảm bảo minh bạch và tuân thủ quy định mà vẫn giữ nhịp đổi mới.",""
"Home","Subsection Heading (H3)","Item 27","Industry Leaders and Innovators","Các lãnh đạo ngành và đơn vị sáng chế",""
"Home","Paragraph","Item 28","If you build the technologies others depend on — from medical devices to educational platforms — HealthSyncX can be your local integration and deployment partner in Vietnam and across the Asia-Pacific.","Nếu bạn phát triển các giải pháp công nghệ mà nhiều người cần — từ thiết bị y tế đến nền tảng giáo dục — HealthSyncX là đối tác tích hợp và triển khai đáng tin cậy của bạn tại Việt Nam và khu vực Châu Á – Thái Bình Dương.",""
"Home","Paragraph","Item 29","We ensure your solutions reach real-world users efficiently, securely, and at scale.","Chúng tôi giúp giải pháp của bạn được triển khai đến người dùng thực tế một cách an toàn, hiệu quả và có thể mở rộng.",""
"Home","Section Heading (H2)","Item 30","Why Choose Us?","Vì sao chọn HealthSyncX?",""
"Home","Paragraph","Item 31","Integration that Delivers Measurable Results","Giải pháp tích hợp mang lại giá trị thực, có thể đo lường",""
"Home","Paragraph","Item 32","At HealthSyncX, integration isn't just about connecting systems — it's about unlocking measurable value across every part of your business:","Với HealthSyncX, tích hợp không chỉ là kết nối hệ thống — mà còn để mang lại giá trị thực ở nhiều mặt cho doanh nghiệp của bạn.",""
"Home","Text Content","Item 33","3.2x","Đem lại lợi nhuận gấp",""
"Home","Text Content","Item 34","Return on Investment for each","3,2 lần",""
"Home","Text Content","Item 35","$1","cho mỗi",""
"Home","Text Content","Item 36","invested in interoperability and workflow integration.","1 USD",""
"Home","Text Content","Item 37","25 – 35%","đầu tư vào tích hợp và tối ưu quy trình.",""
"Home","Text Content","Item 38","average operational cost reduction within 18 months.","Giảm trung bình",""
"Home","Text Content","Item 39","45%","25 – 35%",""
"Home","Text Content","Item 40","time savings in documentation and repetitive tasks.","chi phí vận hành chỉ sau 18 tháng.",""
"Home","Text Content","Item 41","50%","Tiết kiệm",""
"Home","Text Content","Item 42","lower support costs by avoiding vendor lock-in.","45%",""
"Home","Text Content","Item 43","61.7%","thời gian cho các công việc hành chính và thao tác lặp lại.",""
"Home","Text Content","Item 44","shorter hospital stays through optimized patient flow.","Cắt giảm",""
"Home","Text Content","Item 45","75%","50%",""
"Home","Text Content","Item 46","fewer no-shows with integrated communication tools.","chi phí hỗ trợ nhờ tránh bị phụ thuộc nhà cung cấp.",""
"Home","Text Content","Item 47","20%","Rút ngắn",""
"Home","Text Content","Item 48","higher profitability &","61,7%",""
"Home","Text Content","Item 49","25%","thời gian nằm viện nhờ quy trình cho bệnh nhân được tối ưu hóa.",""
"Home","Text Content","Item 50","higher productivity in manufacturing and logistics.","Giảm",""
"Home","Text Content","Item 51","Up to","75%",""
"Home","Text Content","Item 52","40%","số ca hẹn bị bỏ lỡ nhờ hệ thống liên lạc được kết nối đồng bộ.",""
"Home","Text Content","Item 53","administrative cost reduction in education via workflow automation.","Tăng",""
"Home","Text Content","Item 54","$500K – 1.3M","20%",""
"Home","Text Content","Item 55","annual savings per financial institution through connected systems.","lợi nhuận và",""
"Home","Text Content","Item 56","57%","25%",""
"Home","Text Content","Item 57","of hotels report revenue growth and","năng suất trong lĩnh vực sản xuất và cung ứng.",""
"Home","Text Content","Item 58","93%","Giảm đến",""
"Home","Text Content","Item 59","improved operations after digital integration.","40%",""
"Home","Paragraph","Item 60","→ Data backed by independent industry studies across healthcare, manufacturing, education, finance, and hospitality sectors.","chi phí hành chính trong giáo dục thông qua tự động hóa quy trình.",""
"Home","Section Heading (H2)","Item 61","What is People-First Systems Integration?","Mỗi tổ chức tài chính có thể tiết kiệm từ",""
"Home","Paragraph","Item 62","At HealthSyncX, we believe systems integration is more than just connecting technologies. True integration requires a holistic approach that puts people at the center of every solution.","500.000 đến 1,3 triệu USD",""
"Home","Subsection Heading (H3)","Item 63","Hardware & Devices","mỗi năm nhờ hệ thống được kết nối hiệu quả.",""
"Home","Paragraph","Item 64","Medical devices, IoT sensors, equipment, and physical infrastructure","57%",""
"Home","Subsection Heading (H3)","Item 65","Software & Digital Solutions","khách sạn ghi nhận doanh thu tăng và",""
"Home","Paragraph","Item 66","EMR/EHR systems, PACS, management platforms, and applications","93%",""
"Home","Subsection Heading (H3)","Item 67","Networks & Cybersecurity","cải thiện hiệu suất vận hành sau khi triển khai tích hợp số.",""
"Home","Paragraph","Item 68","Secure connectivity, data protection, and infrastructure","→ Các số liệu được chứng minh qua nghiên cứu độc lập trong các ngành y tế, sản xuất, giáo dục, tài chính và dịch vụ khách hàng.",""
"Home","Subsection Heading (H3)","Item 69","Workflows & Processes","Tích hợp hệ thống với trọng tâm là con người là gì?",""
"Home","Paragraph","Item 70","Optimized processes that fit organizational culture and needs","Tại HealthSyncX, chúng tôi tin rằng tích hợp hệ thống không chỉ đơn thuần là kết nối công nghệ. Sự tích hợp thực sự đòi hỏi một cách tiếp cận toàn diện, nơi con người luôn là trọng tâm của mọi giải pháp.",""
"Home","Subsection Heading (H3)","Item 71","People - The Heart of Integration","Phần cứng và thiết bị",""
"Home","Paragraph","Item 72","Technology adoption readiness, comprehensive user training, ongoing support, and change management","Thiết bị y tế, cảm biến IoT, máy móc và hạ tầng vật lý",""
"Home","Subsection Heading (H3)","Item 73","Why People-First Matters","Phần mềm và giải pháp số",""
"Home","Paragraph","Item 74","The most sophisticated technology integration will fail without considering the people who will use it.","Hệ thống EMR/EHR, PACS, nền tảng quản lý và các ứng dụng hỗ trợ",""
"Home","Paragraph","Item 75","HealthSyncX assesses user readiness, designs intuitive workflows, provides comprehensive training, and ensures ongoing support - because successful integration means successful adoption.","Mạng và bảo mật",""
"Home","Section Heading (H2)","Item 76","Our Core Services","Kết nối an toàn, bảo vệ dữ liệu và hạ tầng mạng đáng tin cậy",""
"Home","Paragraph","Item 77","People-centered consultancy services designed to help you navigate technology challenges and opportunities","Quy trình và luồng công việc",""
"Home","Subsection Heading (H3)","Item 78","Holistic Systems Integration","Quy trình được tối ưu để phù hợp với văn hóa và nhu cầu thực tế của tổ chức",""
"Home","Paragraph","Item 79","Comprehensive integration planning that encompasses hardware, software, networks, workflows, AND people - ensuring adoption success through training and support.","Con người – Trái tim của quá trình tích hợp",""
"Home","Link Text","Item 80","Learn More →","Sự sẵn sàng cho việc áp dụng công nghệ, chương trình đào tạo toàn diện, hỗ trợ liên tục và quản lý thay đổi hiệu quả",""
"Home","Subsection Heading (H3)","Item 81","Workflow Optimization","Vì sao việc lấy con người làm trọng tâm lại quan trọng?",""
"Home","Paragraph","Item 82","Process analysis and redesign that respects organizational culture while introducing efficiency improvements. We optimize for both technology and people.","Dù công nghệ có tiên tiến đến đâu, việc tích hợp sẽ thất bại nếu không tính đến những người trực tiếp sử dụng nó.",""
"Home","Link Text","Item 83","Learn More →","HealthSyncX đánh giá mức độ sẵn sàng của người dùng, thiết kế quy trình trực quan, cung cấp đào tạo toàn diện và hỗ trợ liên tục – vì chúng tôi hiểu rằng tích hợp hiệu quả chỉ xảy ra khi người dùng thật sự chấp nhận và sử dụng thành công.",""
"Home","Subsection Heading (H3)","Item 84","Training & Capacity Building","Các dịch vụ chính",""
"Home","Paragraph","Item 85","Comprehensive user training, adoption support, and capacity building to ensure your team can effectively use and maintain integrated systems.","Dịch vụ tư vấn lấy con người làm trung tâm, giúp doanh nghiệp giải quyết thách thức và tận dụng cơ hội công nghệ.",""
"Home","Link Text","Item 86","Learn More →","Tích hợp hệ thống toàn diện",""
"Home","Subsection Heading (H3)","Item 87","Product Development","Lập kế hoạch tích hợp toàn diện bao gồm phần cứng, phần mềm, mạng lưới, quy trình và cả con người – đảm bảo việc triển khai hiệu quả nhờ đào tạo và hỗ trợ sát sao.",""
"Home","Paragraph","Item 88","Partnering with healthcare innovators to transform ideas into market-ready solutions through comprehensive product development support, from concept validation to market entry.","Tìm hiểu thêm →",""
"Home","Link Text","Item 89","Learn More →","Tối ưu hóa quy trình",""
"Home","Label/Badge","Item 90","Focus Area","Phân tích và cải tiến quy trình dựa trên văn hóa tổ chức, mang lại hiệu quả cao hơn. Chúng tôi thực hiện tối ưu hóa cho cả công nghệ lẫn yếu tố con người.",""
"Home","Section Heading (H2)","Item 91","Healthcare Expertise","Tìm hiểu thêm →",""
"Home","Paragraph","Item 92","With a background in medical imaging and healthcare technology, we bring specialized knowledge to integration challenges. Our people-first consultancy helps you navigate the complexities of medical device connectivity, patient data management, and regulatory compliance while ensuring clinical staff are prepared and supported.","Đào tạo và phát triển năng lực",""
"Home","Minor Heading (H4)","Item 93","Enhanced Patient Care","Chương trình đào tạo người dùng toàn diện, hỗ trợ áp dụng thực tế và phát triển năng lực để đội ngũ của bạn sử dụng và vận hành hệ thống tích hợp một cách hiệu quả.",""
"Home","Paragraph","Item 94","Streamline operations and improve efficiency while ensuring clinical staff can focus on patient care, not technology struggles.","Tìm hiểu thêm →",""
"Home","Minor Heading (H4)","Item 95","Security & Compliance","Phát triển sản phẩm",""
"Home","Paragraph","Item 96","Ensure robust security and compliance with local and international laws, regulations, and industry standards.","Hợp tác với các chuyên gia đổi mới trong lĩnh vực y tế để biến ý tưởng thành sản phẩm sẵn sàng ra thị trường, với hỗ trợ trọn gói từ giai đoạn kiểm chứng ý tưởng đến thương mại hóa.",""
"Home","Minor Heading (H4)","Item 97","Digital Transformation","Tìm hiểu thêm →",""
"Home","Paragraph","Item 98","Accelerate digital transformation with user-centered implementation that ensures clinical staff adoption and satisfaction.","Lĩnh vực trọng điểm",""
"Home","Section Heading (H2)","Item 99","Industries We Serve","Chuyên môn trong ngành y tế",""
"Home","Paragraph","Item 100","Specialized healthcare expertise with proven solutions across diverse sectors","Với nền tảng chuyên sâu về hình ảnh y khoa và công nghệ y tế, chúng tôi mang đến kiến thức thực tiễn để giải quyết các thách thức trong quá trình tích hợp. Cách tiếp cận “lấy con người làm trung tâm” giúp bạn xử lý tốt việc kết nối thiết bị, quản lý dữ liệu bệnh nhân và tuân thủ quy định, đồng thời bảo đảm đội ngũ y tế được hỗ trợ đầy đủ.",""
"Home","Subsection Heading (H3)","Item 101","Healthcare","Nâng cao chất lượng chăm sóc bệnh nhân",""
"Home","Paragraph","Item 102","Specialized medical device integration, EMR/EHR systems, and clinical workflow optimization","Đơn giản hóa quy trình vận hành và tăng hiệu quả làm việc, giúp nhân viên y tế tập trung hơn vào việc chăm sóc bệnh nhân thay vì phải loay hoay với công nghệ.",""
"Home","Subsection Heading (H3)","Item 103","Beauty Tech","Bảo mật và tuân thủ quy định",""
"Home","Paragraph","Item 104","Digital transformation and quality systems for beauty and personal care clinics","Đảm bảo hệ thống luôn an toàn và tuân thủ các tiêu chuẩn, quy định của ngành ở cả trong nước và quốc tế.",""
"Home","Subsection Heading (H3)","Item 105","Other Industries","Chuyển đổi số",""
"Home","Paragraph","Item 106","Custom integration solutions for education, manufacturing, finance, retail, logistics, hospitality, and other diverse sectors","Đẩy nhanh quá trình chuyển đổi số với phương pháp triển khai lấy người dùng làm trung tâm, giúp đội ngũ y tế dễ dàng tiếp nhận và hài lòng khi sử dụng.",""
"Home","Section Heading (H2)","Item 107","Free 30-Minute Strategy Session","Các lĩnh vực chúng tôi phục vụ",""
"Home","Paragraph","Item 108","Explore your technology integration challenges with our expert. Get preliminary feedback and actionable insights - no commitment required.","Kinh nghiệm chuyên sâu trong lĩnh vực y tế cùng các giải pháp đã được kiểm chứng ở nhiều ngành nghề khác nhau",""
"Home","Link Text","Item 109","Book Your Free Session","Y tế",""
"Home","Paragraph","Item 110","","Tích hợp thiết bị y tế chuyên dụng, hệ thống EMR/EHR và tối ưu hóa quy trình lâm sàng",""
"Home","Subsection Heading (H3)","Item 111","","Công nghệ làm đẹp",""
"Home","Paragraph","Item 112","","Giải pháp chuyển đổi số và hệ thống quản lý chất lượng cho các phòng khám và trung tâm chăm sóc sắc đẹp",""
"Home","Subsection Heading (H3)","Item 113","","Các ngành khác",""
"Home","Paragraph","Item 114","","Giải pháp tích hợp tùy chỉnh cho các ngành giáo dục, sản xuất, tài chính, bán lẻ, cung ứng, khách sạn và nhiều lĩnh vực khác",""
"Home","Section Heading (H2)","Item 115","","Đăng ký 30 phút tư vấn miễn phí",""
"Home","Paragraph","Item 116","","Cùng chuyên gia của chúng tôi trao đổi về những thách thức trong việc tích hợp công nghệ của bạn. Nhận phản hồi nhanh và gợi ý giải pháp thực tế – hoàn toàn miễn phí, không ràng buộc.",""
"Home","Link Text","Item 117","","Đặt lịch tư vấn miễn phí",""
"About Us","SEO - Page Title","Meta Tag","About Us","Về chúng tôi","Browser tab title"
"About Us","SEO - Meta Description","Meta Tag","Learn about HealthSyncX","Tìm hiểu về tầm nhìn, sứ mệnh và câu chuyện của HealthSyncX. Xây dựng tương lai thông qua tư vấn chuyên gia về tích hợp hệ thống và hợp tác.","Search engine description"
"About Us","Section Heading (H2)","Item 1","Our Vision","Tầm nhìn",""
"About Us","Paragraph","Item 2","To create a world where healthcare ecosystems are seamlessly connected — where technology, data, and human collaboration work in harmony to deliver smarter, more efficient, more equitable, and compassionate care for everyone.","Xây dựng một thế giới nơi các hệ sinh thái y tế được kết nối liền mạch — nơi công nghệ, dữ liệu và con người phối hợp hài hòa để mang lại dịch vụ chăm sóc sức khỏe thông minh, hiệu quả, công bằng, và nhân văn hơn cho tất cả mọi người.",""
"About Us","Section Heading (H2)","Item 3","Our Mission","Sứ mệnh",""
"About Us","Paragraph","Item 4","To bridge the gaps in today's fragmented healthcare ecosystem by synchronizing technologies, systems, workflows, and people — creating connected, intelligent, and human-centered solutions that make healthcare more efficient, collaborative, and accessible across Asia-Pacific and beyond.","Kết nối các mảnh ghép rời rạc trong hệ sinh thái y tế ngày nay bằng cách đồng bộ hóa các công nghệ, hệ thống, quy trình và con người — tạo ra các giải pháp thông minh, kết nối và lấy con người làm trọng tâm, giúp việc chăm sóc sức khỏe trở nên hiệu quả, hợp tác suôn sẻ, và dễ tiếp cận hơn tại khu vực Châu Á – Thái Bình Dương và trên toàn cầu.",""
"About Us","Section Heading (H2)","Item 5","About HealthSyncX","Về HealthSyncX",""
"About Us","Paragraph","Item 6","HealthSyncX Co., Ltd was founded to bridge the gaps in today's fragmented healthcare ecosystem. We believe that true progress in healthcare begins when technology, systems, workflows, and people work in harmony — creating seamless connections that enable better decisions, stronger collaboration, and more compassionate care.","HealthSyncX được thành lập với sứ mệnh thu hẹp khoảng cách trong hệ sinh thái y tế phân mảnh hiện nay. Chúng tôi tin rằng sự tiến bộ thực sự trong y tế bắt đầu khi công nghệ, hệ thống, quy trình và con người hoạt động hài hòa với nhau — tạo sự kết nối liền mạch để giúp đưa ra những quyết định tốt hơn, tăng cường hợp tác và mang lại sự chăm sóc sức khỏe nhân văn hơn.",""
"About Us","Paragraph","Item 7","At HealthSyncX, we focus on transforming complexity into clarity. Our approach integrates engineering expertise, digital innovation, and human-centered design to help organizations align their technologies, data, and workflows. Whether you are a healthcare provider, research institution, or enterprise seeking to modernize your operations, we tailor solutions that fit your unique goals and realities.","Cùng HealthSyncX, chúng tôi giúp chuyển mọi rắc rối phức tạp sang cách giải quyết rõ ràng. Bằng cách kết hợp chuyên môn kỹ thuật, đổi mới số và tư duy thiết kế lấy con người làm trung tâm, chúng tôi giúp các tổ chức đồng bộ công nghệ, dữ liệu và quy trình vận hành. Dù bạn là bệnh viện, tổ chức nghiên cứu hay doanh nghiệp đang muốn hiện đại hóa hoạt động, HealthSyncX sẽ tùy chỉnh giải pháp phù hợp với mục tiêu và thực tế của bạn.",""
"About Us","Paragraph","Item 8","Our work spans technology integration, digital transformation, research collaboration, and professional training — always guided by the belief that innovation must serve people first. We partner with hospitals, universities, and industry innovators across Asia-Pacific to co-create sustainable and secure ecosystems that enhance quality, efficiency, and trust.","Công việc của chúng tôi bao gồm tích hợp công nghệ, chuyển đổi số, hợp tác nghiên cứu và đào tạo chuyên nghiệp — cùng niềm tin rằng sự đổi mới phải phục vụ con người trước tiên mới có thể đạt giá trị hiệu quả. Chúng tôi hợp tác cùng các bệnh viện, trường đại học và các nhà sáng tạo đổi mới trong khu vực Châu Á – Thái Bình Dương để cùng xây dựng hệ sinh thái y tế bền vững, an toàn và đáng tin cậy.",""
"About Us","Quote","Item 9","""Synchronizing technology, systems, workflows, and people — for better healthcare everywhere.""","""Đồng bộ hóa công nghệ, hệ thống, quy trình và con người — để nâng cao chăm sóc sức khỏe ở mọi nơi.""",""
"About Us","Section Heading (H2)","Item 10","HealthSyncX's Core Values","Giá trị cốt lõi của HealthSyncX",""
"About Us","Subsection Heading (H3)","Item 11","Mission-Driven","Tập trung vào sứ mệnh",""
"About Us","Paragraph","Item 12","Dedicated to transforming operations through seamless technology integration","Cam kết nâng cao hiệu quả hoạt động thông qua tích hợp công nghệ linh hoạt và liền mạch.",""
"About Us","Subsection Heading (H3)","Item 13","Excellence","Chất lượng xuất sắc",""
"About Us","Paragraph","Item 14","Committed to delivering the highest quality solutions and services","Nỗ lực mang đến các giải pháp và dịch vụ chất lượng cao nhất.",""
"About Us","Subsection Heading (H3)","Item 15","Client-Focused","Khách hàng là trọng tâm",""
"About Us","Paragraph","Item 16","Building lasting partnerships through trust and collaboration","Xây dựng mối quan hệ hợp tác lâu dài dựa trên sự tin cậy và đồng hành cùng phát triển.",""
"About Us","Subsection Heading (H3)","Item 17","Innovation","Luôn sáng tạo đổi mới",""
"About Us","Paragraph","Item 18","Leveraging proven and emerging technologies to solve complex challenges","Ứng dụng những công nghệ đã được kiểm chứng tính hiệu quả và công nghệ mới để giải quyết những thách thức phức tạp đặc thù theo chuyên ngành.",""
"About Us","Section Heading (H2)","Item 19","Meet Our Founder","Gặp gỡ người sáng lập",""
"About Us","Subsection Heading (H3)","Item 20","Long 'Leo' Phi Dang","Đặng Phi Long (Leo)",""
"About Us","Paragraph","Item 21","Founder & CEO","Người sáng lập & CEO",""
"About Us","Label/Badge","Item 22","Oxford","Oxford",""
"About Us","Paragraph","Item 23","MSc Biomedical Engineering","Thạc sĩ Kỹ thuật Y sinh",""
"About Us","Paragraph","Item 24","University of Oxford, England","Đại học Oxford, Anh",""
"About Us","Paragraph","Item 26","MEng Telecommunication Engineering","Thạc sĩ Kỹ thuật Viễn thông",""
"About Us","Paragraph","Item 27","University of Melbourne, Australia","Đại học Melbourne, Úc",""
"About Us","Label/Badge","Item 28","UCLA","UCLA",""
"About Us","Paragraph","Item 29","BSc Electrical Engineering","Cử nhân Kỹ thuật Điện-Điện tử",""
"About Us","Paragraph","Item 30","University of California - Los Angeles, USA","Đại học California - Los Angeles, Mỹ",""
"About Us","Label/Badge","Item 31","ASQA","ASQA",""
"About Us","Paragraph","Item 32","Nationally Certified Trainer","Giảng viên được chứng nhận quốc gia",""
"About Us","Paragraph","Item 33","Australian Skills Quality Authority (ASQA)","Cơ quan Chất lượng Kỹ năng Úc (ASQA)",""
"About Us","Label/Badge","Item 34","UIUC","UIUC",""
"About Us","Paragraph","Item 35","Strategic Leadership and Management","Chứng chỉ lãnh đạo và quản lý chiến lược",""
"About Us","Paragraph","Item 36","University of Illinois, USA","Đại học Illinois, Mỹ",""
"About Us","Label/Badge","Item 37","ICL","ICL",""
"About Us","Paragraph","Item 38","Digital Health Specialization","Chứng chỉ chuyên môn y tế số",""
"About Us","Paragraph","Item 39","Imperial College London, England","Imperial College London, Anh",""
"About Us","Label/Badge","Item 40","Stanford","Stanford",""
"About Us","Paragraph","Item 41","AI in Healthcare Specialization","Chứng chỉ chuyên môn AI cho y tế",""
"About Us","Paragraph","Item 42","Stanford University, USA","Đại học Stanford, Mỹ",""
"About Us","Label/Badge","Item 43","JHU","JHU",""
"About Us","Paragraph","Item 44","AI for Cybersecurity Specialization","Chứng chỉ chuyên môn AI cho an ninh mạng",""
"About Us","Paragraph","Item 45","Johns Hopkins University, USA","Đại học Johns Hopkins, Mỹ",""
"About Us","Text Content","Item 46","Connect","Kết nối",""
"About Us","Quote","Item 47","""What if the real cure for healthcare's complexity lies not in more new technologies, but in connecting what already exists — current technologies, systems, workflows, and people?""","“Nếu giải pháp thật sự cho các vấn đề nan giải trong y tế không nằm ở việc phát triển thêm các công nghệ mới, mà ở việc kết nối những gì đã có — công nghệ hiện tại, các hệ thống, quy trình và con người — thì chúng ta cần làm gì?”",""
"About Us","Paragraph","Item 48","As a globally experienced engineer, researcher, and technology leader with over 20 years of professional and academic experience across Asia, Oceania, Europe, and North America, I've seen how fragmented healthcare systems affect not only efficiency but also human well-being.","Với tư cách là một kỹ sư, nghiên cứu viên, và là người lãnh đạo công nghệ, cùng hơn 20 năm kinh nghiệm làm việc và đào tạo tại Châu Á, Châu Đại Dương, Châu Âu và Bắc Mỹ, tôi đã chứng kiến các ảnh hưởng tiêu cực của hệ thống y tế bị phân mảnh hiện nay đến hiệu quả hoạt động và chất lượng chăm sóc sức khỏe cho mọi người.",""
"About Us","Paragraph","Item 49","Having lived and worked in Vietnam, Australia, New Zealand, the United Kingdom, and the United States, I bring a uniquely international perspective on how science, technology, and people can harmonize to improve healthcare outcomes.","Qua quá trình sống và làm việc tại Việt Nam, Úc, New Zealand, Anh, và Mỹ, tôi nhận định rằng sự kết hợp hài hòa giữa khoa học, công nghệ và con người có thể cải thiện chất lượng y tế một cách mạnh mẽ.",""
"About Us","Paragraph","Item 50","HealthSyncX Co., Ltd was founded to bridge the gaps that exist across today's fragmented healthcare ecosystem. It was born from a simple yet powerful vision —","Công ty TNHH HealthSyncX được thành lập để giúp lấp các khoảng trống đang tồn tại trong hệ sinh thái y tế phân mảnh ngày nay. HealthSyncX ra đời từ một tầm nhìn đơn giản nhưng quan trọng —",""
"About Us","Text Content","Item 51","to synchronize technology, systems, workflows, and people for better healthcare everywhere","giúp đồng bộ hóa công nghệ, hệ thống, quy trình và con người để mang lại dịch vụ y tế tốt hơn cho mọi nơi",""
"About Us","Paragraph","Item 53","For me, integration means more than linking devices or software; it's about connecting hearts, minds, and expertise across disciplines and borders to create healthcare solutions that are intelligent, collaborative, and human-centered.","Đối với tôi, tích hợp không chỉ là liên kết các thiết bị hoặc phần mềm; mà còn là việc kết nối trái tim, khối óc ở các chuyên môn đa ngành và xuyên biên giới để tạo ra các giải pháp y tế thông minh, tăng cường hợp tác và lấy con người làm trung tâm.",""
"About Us","Paragraph","Item 54","My work combines deep technical knowledge, strategic leadership, and a holistic understanding of the healthcare ecosystem — enabling HealthSyncX to design innovations that are not only cutting-edge but also practical, sustainable, and meaningful to the people who rely on them.","Công việc của tôi kết hợp kiến thức kỹ thuật chuyên sâu, lãnh đạo chiến lược và sự hiểu biết toàn diện về hệ sinh thái y tế — giúp HealthSyncX thiết kế và triển khai các sáng tạo đổi mới không chỉ tiên tiến mà còn thực tế, bền vững và có ý nghĩa cho mọi người.",""
"About Us","Minor Heading (H4)","Item 55","Core Expertise","Chuyên môn",""
"About Us","Paragraph","Item 56","Systems Integration","Tích hợp hệ thống",""
"About Us","Paragraph","Item 57","Medical Imaging","Hình ảnh y khoa",""
