Page,Section,English,Vietnamese,Notes
Home,Paragraph 7,"Our integration experts connect systems, data, and workflows so your teams can focus on results, not roadblocks. From agile startups to enterprise networks, HealthSyncX tailors integration to your scale. We simplify complexity, connect what matters, and help your teams adopt technology that truly works.","Các chuyên gia tích hợp của chúng tôi kết nối hệ thống, dữ liệu và quy trình làm việc để nhóm của bạn có thể tập trung vào kết quả, không phải rào cản. Từ các startup linh hoạt đến mạng lưới doanh nghiệp, HealthSyncX điều chỉnh tích hợp phù hợp với quy mô của bạn. Chúng tôi đơn giản hóa sự phức tạp, kết nối những gì quan trọng và giúp nhóm của bạn áp dụng công nghệ thực sự hiệu quả.",
Home,Heading 16,What is People-First Systems Integration?,Tích hợp Hệ thống Lấy Con người Làm Trung tâm là gì?,
Home,Paragraph 8,"At HealthSyncX, we believe systems integration is more than just connecting technologies. True integration requires a holistic approach that puts people at the center of every solution.","Tại HealthSyncX, chúng tôi tin rằng tích hợp hệ thống không chỉ là kết nối các công nghệ. Tích hợp thực sự đòi hỏi một cách tiếp cận toàn diện đặt con người làm trung tâm của mọi giải pháp.",
Home,Heading 17,Hardware & Devices,Phần cứng & Thiết bị,
Home,Text 11,"Medical devices, IoT sensors, equipment, and physical infrastructure","Thiết bị y tế, cảm biến IoT, thiết bị và cơ sở hạ tầng vật lý",
Home,Heading 18,Software & Digital Solutions,Phần mềm & Giải pháp Số,
Home,Text 12,"EMR/EHR systems, PACS, management platforms, and applications","Hệ thống EMR/EHR, PACS, nền tảng quản lý và ứng dụng",
Home,Heading 19,Networks & Cybersecurity,Mạng & Bảo mật Mạng,
Home,Text 13,"Secure connectivity, data protection, and infrastructure","Kết nối an toàn, bảo vệ dữ liệu và cơ sở hạ tầng",
Home,Heading 20,Workflows & Processes,Quy trình & Luồng công việc,
Home,Text 14,Optimized processes that fit organizational culture and needs,Quy trình tối ưu phù hợp với văn hóa và nhu cầu tổ chức,
Home,Heading 21,People - The Heart of Integration,Con người - Trái tim của Tích hợp,
Home,Text 15,"Technology adoption readiness, comprehensive user training, ongoing support, and change management","Sẵn sàng áp dụng công nghệ, đào tạo người dùng toàn diện, hỗ trợ liên tục và quản lý thay đổi",
Home,Heading 22,Why People-First Matters,Tại sao Lấy Con người Làm Trung tâm Quan trọng,
Home,Paragraph 9,The most sophisticated technology integration will fail without considering the people who will use it.,Tích hợp công nghệ tinh vi nhất sẽ thất bại nếu không xem xét những người sử dụng nó.,
Home,Paragraph 10,"HealthSyncX assesses user readiness, designs intuitive workflows, provides comprehensive training, and ensures ongoing support - because successful integration means successful adoption.","HealthSyncX đánh giá sự sẵn sàng của người dùng, thiết kế quy trình trực quan, cung cấp đào tạo toàn diện và đảm bảo hỗ trợ liên tục - bởi vì tích hợp thành công có nghĩa là áp dụng thành công.",
Home,Heading 23,Our Core Services,Dịch vụ Cốt lõi của Chúng tôi,
Home,Paragraph 11,People-centered consultancy services designed to help you navigate technology challenges and opportunities,Dịch vụ tư vấn lấy con người làm trung tâm được thiết kế để giúp bạn vượt qua các thách thức và cơ hội công nghệ,
Home,Heading 24,Holistic Systems Integration,Tích hợp Hệ thống Toàn diện,
Home,Paragraph 12,"Comprehensive integration planning that encompasses hardware, software, networks, workflows, AND people - ensuring adoption success through training and support.","Lập kế hoạch tích hợp toàn diện bao gồm phần cứng, phần mềm, mạng, quy trình VÀ con người - đảm bảo thành công áp dụng thông qua đào tạo và hỗ trợ.",
Home,Heading 25,Learn More →,Tìm hiểu thêm →,
Home,Heading 26,Workflow Optimization,Tối ưu hóa Quy trình,
Home,Paragraph 13,Process analysis and redesign that respects organizational culture while introducing efficiency improvements. We optimize for both technology and people.,Phân tích và thiết kế lại quy trình tôn trọng văn hóa tổ chức đồng thời cải thiện hiệu quả. Chúng tôi tối ưu hóa cho cả công nghệ và con người.,
Home,Heading 27,Learn More →,Tìm hiểu thêm →,
Home,Heading 28,Training & Capacity Building,Đào tạo & Phát triển Năng lực,
Home,Paragraph 14,"Comprehensive user training, adoption support, and capacity building to ensure your team can effectively use and maintain integrated systems.","Đào tạo người dùng toàn diện, hỗ trợ áp dụng và phát triển năng lực để đảm bảo đội ngũ của bạn có thể sử dụng và bảo trì hệ thống tích hợp hiệu quả.",
Home,Heading 29,Learn More →,Tìm hiểu thêm →,
Home,Heading 30,Product Development,Phát triển Sản phẩm,
Home,Paragraph 15,"Partnering with healthcare innovators to transform ideas into market-ready solutions through comprehensive product development support, from concept validation to market entry.","Hợp tác với các nhà đổi mới y tế để biến ý tưởng thành giải pháp sẵn sàng ra thị trường thông qua hỗ trợ phát triển sản phẩm toàn diện, từ xác thực ý tưởng đến gia nhập thị trường.",
Home,Heading 31,Learn More →,Tìm hiểu thêm →,
Home,Heading 32,Healthcare Focus,Tập trung vào Y tế,
Home,Heading 33,Healthcare Consultancy Expertise,Chuyên môn Tư vấn Y tế,
Home,Paragraph 16,"With a background in medical imaging and healthcare technology, we bring specialized knowledge to integration challenges. Our people-first consultancy helps you navigate the complexities of medical device connectivity, patient data management, and regulatory compliance while ensuring clinical staff are prepared and supported.","Với nền tảng về hình ảnh y khoa và công nghệ y tế, chúng tôi mang đến kiến thức chuyên môn cho các thách thức tích hợp. Tư vấn lấy con người làm trung tâm của chúng tôi giúp bạn vượt qua sự phức tạp của kết nối thiết bị y tế, quản lý dữ liệu bệnh nhân và tuân thủ quy định đồng thời đảm bảo nhân viên lâm sàng được chuẩn bị và hỗ trợ.",
Home,Heading 34,Enhanced Patient Care,Nâng cao Chăm sóc Bệnh nhân,
Home,Paragraph 17,"Streamline operations and improve efficiency while ensuring clinical staff can focus on patient care, not technology struggles.","Hợp lý hóa hoạt động và cải thiện hiệu quả đồng thời đảm bảo nhân viên lâm sàng có thể tập trung vào chăm sóc bệnh nhân, không phải vật lộn với công nghệ.",
Home,Heading 35,Security & Compliance,Bảo mật & Tuân thủ,
Home,Paragraph 18,"Ensure robust security and compliance with local and international laws, regulations, and industry standards.","Đảm bảo bảo mật mạnh mẽ và tuân thủ các luật, quy định và tiêu chuẩn ngành địa phương và quốc tế.",
Home,Heading 36,Digital Transformation,Chuyển đổi Số,
Home,Paragraph 19,Accelerate digital transformation with user-centered implementation that ensures clinical staff adoption and satisfaction.,Tăng tốc chuyển đổi số với triển khai lấy người dùng làm trung tâm đảm bảo việc áp dụng và sự hài lòng của nhân viên lâm sàng.,
Home,Heading 37,Industries We Serve,Ngành nghề Chúng tôi Phục vụ,
Home,Text 16,Specialized healthcare expertise with proven solutions across diverse sectors,Chuyên môn y tế chuyên sâu với các giải pháp đã được chứng minh trên nhiều lĩnh vực,
Home,Heading 38,Healthcare,Y tế,
Home,Text 17,"Specialized medical device integration, EMR/EHR systems, and clinical workflow optimization","Tích hợp thiết bị y tế chuyên biệt, hệ thống EMR/EHR và tối ưu hóa quy trình lâm sàng",
Home,Heading 39,Beauty Tech,Công nghệ Làm đẹp,
Home,Text 18,Digital transformation and quality systems for beauty and personal care clinics,Chuyển đổi số và hệ thống chất lượng cho phòng khám làm đẹp và chăm sóc cá nhân,
Home,Heading 40,Other Industries,Các Ngành khác,
Home,Paragraph 20,"Custom integration solutions for education, manufacturing, finance, retail, logistics, hospitality, and other diverse sectors","Giải pháp tích hợp tùy chỉnh cho giáo dục, sản xuất, tài chính, bán lẻ, logistics, khách sạn và các lĩnh vực đa dạng khác",
Home,Heading 41,Free 30-Minute Strategy Session,Buổi Tư vấn Chiến lược Miễn phí 30 Phút,
Home,Paragraph 21,Explore your technology integration challenges with our expert. Get preliminary feedback and actionable insights - no commitment required.,Khám phá các thách thức tích hợp công nghệ của bạn với chuyên gia của chúng tôi. Nhận phản hồi sơ bộ và thông tin hữu ích - không cần cam kết.,
Home,Heading 42,Book Your Free Session,Đặt Buổi Tư vấn Miễn phí,

Services,Heading,Our Core Services,Dịch vụ Cốt lõi của Chúng tôi,
Services,Paragraph,People-centered consultancy services designed to help you navigate technology challenges and opportunities,Dịch vụ tư vấn lấy con người làm trung tâm được thiết kế để giúp bạn vượt qua các thách thức và cơ hội công nghệ,
Services,Heading 2,Holistic Systems Integration,Tích hợp Hệ thống Toàn diện,
Services,Paragraph 2,"Comprehensive integration planning that encompasses hardware, software, networks, workflows, AND people - ensuring adoption success through independent guidance, training, and support.","Lập kế hoạch tích hợp toàn diện bao gồm phần cứng, phần mềm, mạng, quy trình VÀ con người - đảm bảo thành công áp dụng thông qua hướng dẫn độc lập, đào tạo và hỗ trợ.",
Services,Text,Independent technology assessment & vendor-neutral recommendations,Đánh giá công nghệ độc lập & khuyến nghị trung lập nhà cung cấp,
Services,Text 2,"Hardware, software, and network infrastructure integration","Tích hợp phần cứng, phần mềm và cơ sở hạ tầng mạng",
Services,Heading 3,Organization workflow analysis & alignment,Phân tích & điều chỉnh quy trình tổ chức,
Services,Heading 4,User readiness evaluation & capability assessment,Đánh giá mức độ sẵn sàng & năng lực người dùng,
Services,Text 3,Change management planning & Return on Investment analysis,Lập kế hoạch quản lý thay đổi & phân tích Lợi Tức Đầu Tư,
Services,Heading 5,Workflow Optimization,Tối ưu hóa Quy trình,
Services,Paragraph 3,Process analysis and redesign that respects organizational culture while introducing efficiency improvements. We optimize for both technology and people.,Phân tích và thiết kế lại quy trình tôn trọng văn hóa tổ chức đồng thời cải thiện hiệu quả. Chúng tôi tối ưu hóa cho cả công nghệ và con người.,
Services,Heading 6,Process mapping & analysis,Lập bản đồ & phân tích quy trình,
Services,Heading 7,Bottleneck identification,Xác định điểm nghẽn,
Services,Heading 8,Culture-sensitive redesign,Thiết kế lại nhạy cảm với văn hóa,
Services,Heading 9,Efficiency improvement strategies,Chiến lược cải thiện hiệu quả,
Services,Heading 10,Technology-enabled optimization,Tối ưu hóa hỗ trợ công nghệ,
Services,Heading 11,Training & Capacity Building,Đào tạo & Phát triển Năng lực,
Services,Paragraph 4,"Comprehensive user training, adoption support, and capacity building to ensure your team can effectively use and maintain integrated systems.","Đào tạo người dùng toàn diện, hỗ trợ áp dụng và phát triển năng lực để đảm bảo đội ngũ của bạn có thể sử dụng và bảo trì hệ thống tích hợp hiệu quả.",
Services,Heading 12,Comprehensive user training programs,Chương trình đào tạo người dùng toàn diện,
Services,Heading 13,Technology adoption workshops,Hội thảo áp dụng công nghệ,
Services,Heading 14,Ongoing support & troubleshooting,Hỗ trợ liên tục & khắc phục sự cố,
Services,Heading 15,Capacity building initiatives,Sáng kiến xây dựng năng lực,
Services,Heading 16,Knowledge transfer sessions,Buổi chuyển giao kiến thức,
Services,Heading 17,Product Development,Phát triển Sản phẩm,
Services,Paragraph 5,"Partnering with healthcare innovators to transform ideas into market-ready solutions through comprehensive product development support, from concept validation to market entry.","Hợp tác với các nhà đổi mới y tế để biến ý tưởng thành giải pháp sẵn sàng cho thị trường thông qua hỗ trợ phát triển sản phẩm toàn diện, từ xác thực khái niệm đến thâm nhập thị trường.",
Services,Heading 18,Concept & feasibility assessment,Đánh giá khái niệm & tính khả thi,
Services,Heading 19,User needs analysis & validation,Phân tích & xác thực nhu cầu người dùng,
Services,Heading 20,Regulatory compliance guidance,Hướng dẫn tuân thủ quy định,
Services,Heading 21,Prototype development support,Hỗ trợ phát triển nguyên mẫu,
Services,Heading 22,Market entry strategy,Chiến lược thâm nhập thị trường,
Services,Heading 23,Free 30-Minute Strategy Session,Buổi Tư vấn Chiến lược Miễn phí 30 Phút,
Services,Paragraph 6,Explore your technology integration challenges with our expert. Get preliminary feedback and actionable insights - no commitment required.,Khám phá các thách thức tích hợp công nghệ của bạn với chuyên gia của chúng tôi. Nhận phản hồi sơ bộ và thông tin hữu ích - không cần cam kết.,
Services,Heading 24,Book Your Free Session,Đặt Buổi Tư vấn Miễn phí,

Solutions,Heading,Industry Solutions,Giải pháp Ngành,
Solutions,Text,We understand the unique integration challenges across different sectors,Chúng tôi hiểu rõ các thách thức tích hợp duy nhất trên các lĩnh vực khác nhau,
Solutions,Heading 2,Healthcare,Y tế,
Solutions,Text 2,Comprehensive systems integration for modern healthcare facilities,Tích hợp hệ thống toàn diện cho cơ sở y tế hiện đại,
Solutions,Heading 3,Hospital Information Systems (HIS) integration,Tích hợp Hệ thống Thông tin Bệnh viện (HIS),
Solutions,Heading 4,Medical device connectivity and data management,Kết nối thiết bị y tế và quản lý dữ liệu,
Solutions,Heading 5,Telemedicine platform implementation,Triển khai nền tảng y tế từ xa,
Solutions,Heading 6,Patient data security and compliance,Bảo mật dữ liệu bệnh nhân và tuân thủ,
Solutions,Heading 7,Healthcare workflow optimization,Tối ưu hóa quy trình chăm sóc sức khỏe,
Solutions,Heading 8,Beauty Tech,Công nghệ Làm đẹp,
Solutions,Text 3,Technology and device integration for product quality control and data management,Tích hợp công nghệ và thiết bị cho kiểm soát chất lượng sản phẩm và quản lý dữ liệu,
Solutions,Text 4,Quality control device integration and data capture,Tích hợp thiết bị kiểm soát chất lượng và thu thập dữ liệu,
Solutions,Text 5,Product testing and analysis equipment connectivity,Kết nối thiết bị kiểm tra và phân tích sản phẩm,
Solutions,Heading 9,Laboratory information management systems (LIMS),Hệ thống quản lý thông tin phòng thí nghiệm (LIMS),
Solutions,Heading 10,Traceability and compliance data management,Quản lý dữ liệu truy xuất nguồn gốc và tuân thủ,
Solutions,Heading 11,Real-time quality monitoring and reporting,Giám sát và báo cáo chất lượng theo thời gian thực,
Solutions,Heading 12,Other Industries,Các Ngành Khác,
Solutions,Text 6,Systems integration solutions for diverse sectors beyond our core focus areas,Giải pháp tích hợp hệ thống cho nhiều lĩnh vực đa dạng ngoài các lĩnh vực trọng tâm của chúng tôi,
Solutions,Button/Link,Education technology and learning management systems,Công nghệ giáo dục và hệ thống quản lý học tập,
Solutions,Heading 13,Manufacturing and production management systems,Hệ thống quản lý sản xuất và chế tạo,
Solutions,Heading 14,Retail and e-commerce platforms,Nền tảng bán lẻ và thương mại điện tử,
Solutions,Heading 15,Financial services and logistics,Dịch vụ tài chính và logistics,
Solutions,Heading 16,Hospitality and custom solutions,Khách sạn và giải pháp tùy chỉnh,
Solutions,Heading 17,Free 30-Minute Strategy Session,Buổi Tư vấn Chiến lược Miễn phí 30 Phút,
Solutions,Paragraph,Explore your technology integration challenges with our expert. Get preliminary feedback and actionable insights - no commitment required.,Khám phá các thách thức tích hợp công nghệ của bạn với chuyên gia của chúng tôi. Nhận phản hồi sơ bộ và thông tin hữu ích - không cần cam kết.,
Solutions,Heading 18,Book Your Free Session,Đặt Buổi Tư vấn Miễn phí,

Collaboration,Heading,Partner with HealthSyncX,Cơ hội Hợp tác,
Collaboration,Text,Expand your reach in Vietnam and the APAC region through strategic partnership,Xây dựng liên minh chiến lược để thúc đẩy công nghệ y tế và tích hợp hệ thống,
Collaboration,Heading 2,Why Partner with Us?,Tại sao Hợp tác với Chúng tôi,
Collaboration,Paragraph,"We bring deep local expertise, international experience, and a proven track record in healthcare technology integration across the APAC region. Our partnerships are built on shared vision, mutual trust, and commitment to delivering value.","Chúng tôi mang lại giá trị độc đáo thông qua chuyên môn kỹ thuật sâu rộng, sự hiện diện thị trường địa phương và cam kết tích hợp lấy con người làm trung tâm.",
Collaboration,Heading 3,Local Market Expertise,Chuyên môn Thị trường Địa phương,
Collaboration,Text 2,"Deep understanding of Vietnam and APAC healthcare markets, regulations, and user needs","Hiểu biết sâu sắc về thị trường y tế Việt Nam và APAC, quy định và nhu cầu người dùng",
Collaboration,Heading 4,Established Network,Mạng lưới Vững chắc,
Collaboration,Text 3,"Strong relationships with healthcare providers, universities, and technology partners","Quan hệ mạnh mẽ với các nhà cung cấp dịch vụ y tế, trường đại học và đối tác công nghệ",
Collaboration,Heading 5,Technical Excellence,Xuất sắc Kỹ thuật,
Collaboration,Text 4,"Advanced expertise in biomedical engineering, healthcare IT, and integration systems","Chuyên môn tiên tiến trong kỹ thuật y sinh, IT y tế và hệ thống tích hợp",
Collaboration,Heading 6,Bilingual Support,Giao tiếp Song ngữ,
Collaboration,Text 5,"Seamless communication in English and Vietnamese, bridging international partners with local teams","Thành thạo tiếng Anh và tiếng Việt, kết nối rào cản ngôn ngữ và văn hóa",
Collaboration,Text 6,🇳🇿,🇳🇿,
Collaboration,Heading 7,New Zealand - Vietnam Bridge,Cầu nối Công nghệ New Zealand-Việt Nam,
Collaboration,Text 7,🇻🇳,🇻🇳,
Collaboration,Paragraph 2,"HealthSyncX serves as a unique bridge between New Zealand's advanced healthcare innovation ecosystem and Vietnam's rapidly growing healthcare market. With operations in both countries, we understand the strengths, needs, and opportunities in each market. We help New Zealand companies navigate Vietnam's regulatory landscape and cultural context, while connecting Vietnamese organizations with world-class healthcare technologies and best practices from New Zealand.","Chúng tôi tạo điều kiện hợp tác giữa các nhà cung cấp công nghệ đổi mới ở New Zealand và thị trường y tế đang phát triển ở Việt Nam. Sự hiện diện kép của chúng tôi cho phép hợp tác hiệu quả, chuyển giao kiến thức và tiếp cận thị trường cho các đối tác ở cả hai phía.",
Collaboration,Heading 8,Partnership Opportunities,Các Loại Hợp tác,
Collaboration,Heading 9,Technology Partners,Đối tác Công nghệ,
Collaboration,Paragraph 3,"Medical device manufacturers, healthcare software providers, and technology innovators seeking to enter or expand in the APAC market","Nhà cung cấp phần mềm, nhà sản xuất phần cứng và nhà cung cấp nền tảng tìm kiếm sự tiếp cận thị trường hoặc chuyên môn tích hợp trong thị trường y tế APAC.",
Collaboration,Paragraph 4,Market entry support • Regulatory guidance • Local distribution • Integration services • Innovation collaboration,Tiếp cận thị trường • Dịch vụ tích hợp • Xác thực kỹ thuật • Hỗ trợ địa phương • Hợp tác đổi mới,
Collaboration,Heading 10,Healthcare Organizations,Tổ chức Y tế,
Collaboration,Paragraph 5,"Hospitals, clinics, research institutions, and healthcare providers looking for systems integration expertise and technology transformation support","Bệnh viện, phòng khám và mạng lưới y tế khám phá hiện đại hóa công nghệ, tích hợp hệ thống hoặc các sáng kiến chuyển đổi số.",
Collaboration,Text 8,Systems integration • Digital transformation • Training & support • Best practice guidance,"Lập kế hoạch chiến lược, lựa chọn nhà cung cấp, triển khai tích hợp và chương trình đào tạo nhân viên",
Collaboration,Heading 11,Research & Academic Partners,Đối tác Nghiên cứu,
Collaboration,Paragraph 6,"Universities, research centers, and educational institutions interested in collaborative projects, knowledge exchange, and capacity building","Trường đại học và cơ sở nghiên cứu quan tâm đến nghiên cứu công nghệ y tế, dự án đổi mới hoặc chương trình trao đổi kiến thức.",
Collaboration,Text 9,Joint research • Knowledge exchange • Student programs • Innovation collaboration,Nghiên cứu hợp tác • Trao đổi kiến thức • Chương trình sinh viên • Hợp tác đổi mới,
Collaboration,Heading 12,Partner Inquiry,Bày tỏ Sự quan tâm của Bạn,
Collaboration,Paragraph 7,Interested in exploring partnership opportunities? Share your information and we'll be in touch to discuss how we can collaborate.,Hãy cho chúng tôi biết về tổ chức của bạn và cách chúng ta có thể hợp tác,
Collaboration,Heading 13,Name *,Họ và Tên *,
Collaboration,Heading 14,Email *,Email *,
Collaboration,Heading 15,Organization *,Tổ chức *,
Collaboration,Heading 16,Phone *,Điện thoại *,
Collaboration,Heading 17,Website (optional),Website (tùy chọn),
Collaboration,Heading 18,Partnership Interest *,Loại Hợp tác *,
Collaboration,Heading 19,Select partnership type,Chọn loại hợp tác,
Collaboration,Heading 20,Technology Partner,Đối tác Công nghệ,
Collaboration,Heading 21,Healthcare Organization,Tổ chức Y tế,
Collaboration,Heading 22,Research/Academic,Đối tác Nghiên cứu,
Collaboration,Heading 23,Other,Khác,
Collaboration,Text 10,Tell us about your organization and partnership goals *,Cho chúng tôi biết về sự quan tâm hợp tác của bạn *,
Collaboration,Button/Link,I consent to HealthSyncX using my submitted information to respond to my inquiry,Tôi đồng ý để HealthSyncX thu thập và xử lý thông tin cá nhân của tôi nhằm mục đích đánh giá cơ hội hợp tác. Dữ liệu của tôi sẽ được xử lý theo Chính sách Bảo mật của chúng tôi.,
Collaboration,Heading 24,Submit Partnership Inquiry,Gửi Yêu cầu Hợp tác,

About,Heading,Our Vision,Tầm nhìn,
About,Paragraph,"To create a world where healthcare ecosystems are seamlessly connected — where technology, data, and human collaboration work in harmony to deliver smarter, more equitable, and compassionate care for everyone.","Tạo ra một thế giới nơi các hệ sinh thái y tế được kết nối liền mạch — nơi công nghệ, dữ liệu và sự hợp tác của con người làm việc hài hòa để mang lại dịch vụ chăm sóc thông minh hơn, công bằng hơn và nhân văn hơn cho mọi người.",
About,Heading 2,Our Mission,Sứ mệnh,
About,Paragraph 2,"To bridge the gaps in today's fragmented healthcare ecosystem by synchronizing technology, systems, and people — creating connected, intelligent, and human-centered solutions that make healthcare more efficient, collaborative, and accessible across Asia-Pacific and beyond.","Kết nối các khoảng trống trong hệ sinh thái y tế phân mảnh ngày nay bằng cách đồng bộ hóa công nghệ, hệ thống và con người — tạo ra các giải pháp được kết nối, thông minh và lấy con người làm trung tâm giúp chăm sóc sức khỏe hiệu quả hơn, hợp tác hơn và dễ tiếp cận hơn trên khắp Châu Á-Thái Bình Dương và xa hơn nữa.",
About,Heading 3,About HealthSyncX,Về HealthSyncX,
About,Paragraph 3,"HealthSyncX Co., Ltd was founded to bridge the gaps in today's fragmented healthcare ecosystem. We believe that true progress in healthcare begins when technology, systems, and people work in harmony — creating seamless connections that enable better decisions, stronger collaboration, and more compassionate care.","HealthSyncX Co., Ltd được thành lập để kết nối các khoảng trống trong hệ sinh thái y tế phân mảnh ngày nay. Chúng tôi tin rằng tiến bộ thực sự trong chăm sóc sức khỏe bắt đầu khi công nghệ, hệ thống và con người làm việc hài hòa — tạo ra kết nối liền mạch cho phép ra quyết định tốt hơn, hợp tác mạnh mẽ hơn và chăm sóc nhân văn hơn.",
